cod_municipio;Municipio;Tipo_municipio;Cod_departamento;Departamento;Longitud;Latitud;created_at;updated_at
5001;MEDELLÍN;Municipio;5;ANTIOQUIA;-755.817.750;62.466.310;24/09/2025 23:06:11;24/09/2025 23:06:11
5002;ABEJORRAL;Municipio;5;ANTIOQUIA;-754.287.390;57.893.150;24/09/2025 23:06:11;24/09/2025 23:06:11
5004;ABRIAQUÍ;Municipio;5;ANTIOQUIA;-760.643.040;66.322.820;24/09/2025 23:06:11;24/09/2025 23:06:11
5021;ALEJANDRÍA;Municipio;5;ANTIOQUIA;-751.413.460;63.760.610;24/09/2025 23:06:11;24/09/2025 23:06:11
5030;AMAGÁ;Municipio;5;ANTIOQUIA;-757.021.880;60.387.080;24/09/2025 23:06:11;24/09/2025 23:06:11
5031;AMALFI;Municipio;5;ANTIOQUIA;-750.775.010;69.096.550;24/09/2025 23:06:11;24/09/2025 23:06:11
5034;ANDES;Municipio;5;ANTIOQUIA;-758.788.280;56.571.940;24/09/2025 23:06:11;24/09/2025 23:06:11
5036;ANGELÓPOLIS;Municipio;5;ANTIOQUIA;-757.113.890;61.097.190;24/09/2025 23:06:11;24/09/2025 23:06:11
5038;ANGOSTURA;Municipio;5;ANTIOQUIA;-753.351.160;68.851.750;24/09/2025 23:06:11;24/09/2025 23:06:11
5040;ANORÍ;Municipio;5;ANTIOQUIA;-751.483.550;70.747.030;24/09/2025 23:06:11;24/09/2025 23:06:11
5042;SANTA FÉ DE ANTIOQUIA;Municipio;5;ANTIOQUIA;-758.266.480;65.564.840;24/09/2025 23:06:11;24/09/2025 23:06:11
5044;ANZÁ;Municipio;5;ANTIOQUIA;-758.544.420;63.026.410;24/09/2025 23:06:11;24/09/2025 23:06:11
5045;APARTADÓ;Municipio;5;ANTIOQUIA;-766.252.790;78.829.680;24/09/2025 23:06:11;24/09/2025 23:06:11
5051;ARBOLETES;Municipio;5;ANTIOQUIA;-764.267.080;88.493.170;24/09/2025 23:06:11;24/09/2025 23:06:11
5055;ARGELIA;Municipio;5;ANTIOQUIA;-751.410.700;57.314.740;24/09/2025 23:06:11;24/09/2025 23:06:11
5059;ARMENIA;Municipio;5;ANTIOQUIA;-757.866.470;61.556.670;24/09/2025 23:06:11;24/09/2025 23:06:11
5079;BARBOSA;Municipio;5;ANTIOQUIA;-753.316.270;64.391.950;24/09/2025 23:06:11;24/09/2025 23:06:11
5086;BELMIRA;Municipio;5;ANTIOQUIA;-756.677.790;66.063.190;24/09/2025 23:06:11;24/09/2025 23:06:11
5088;BELLO;Municipio;5;ANTIOQUIA;-755.552.450;63.335.870;24/09/2025 23:06:11;24/09/2025 23:06:11
5091;BETANIA;Municipio;5;ANTIOQUIA;-759.767.900;57.461.500;24/09/2025 23:06:11;24/09/2025 23:06:11
5093;BETULIA;Municipio;5;ANTIOQUIA;-759.844.520;61.152.080;24/09/2025 23:06:11;24/09/2025 23:06:11
5101;CIUDAD BOLÍVAR;Municipio;5;ANTIOQUIA;-760.215.090;58.502.730;24/09/2025 23:06:11;24/09/2025 23:06:11
5107;BRICEÑO;Municipio;5;ANTIOQUIA;-755.503.600;71.128.030;24/09/2025 23:06:11;24/09/2025 23:06:11
5113;BURITICÁ;Municipio;5;ANTIOQUIA;-759.070.000;67.207.590;24/09/2025 23:06:11;24/09/2025 23:06:11
5120;CÁCERES;Municipio;5;ANTIOQUIA;-753.520.500;75.783.660;24/09/2025 23:06:11;24/09/2025 23:06:11
5125;CAICEDO;Municipio;5;ANTIOQUIA;-759.829.300;64.056.070;24/09/2025 23:06:11;24/09/2025 23:06:11
5129;CALDAS;Municipio;5;ANTIOQUIA;-756.336.730;60.910.770;24/09/2025 23:06:11;24/09/2025 23:06:11
5134;CAMPAMENTO;Municipio;5;ANTIOQUIA;-752.980.910;69.797.710;24/09/2025 23:06:11;24/09/2025 23:06:11
5138;CAÑASGORDAS;Municipio;5;ANTIOQUIA;-760.282.280;67.538.590;24/09/2025 23:06:11;24/09/2025 23:06:11
5142;CARACOLÍ;Municipio;5;ANTIOQUIA;-747.574.210;64.098.290;24/09/2025 23:06:11;24/09/2025 23:06:11
5145;CARAMANTA;Municipio;5;ANTIOQUIA;-756.438.680;55.485.300;24/09/2025 23:06:11;24/09/2025 23:06:11
5147;CAREPA;Municipio;5;ANTIOQUIA;-766.526.520;77.551.480;24/09/2025 23:06:11;24/09/2025 23:06:11
5148;EL CARMEN DE VIBORAL;Municipio;5;ANTIOQUIA;-753.339.010;60.828.850;24/09/2025 23:06:11;24/09/2025 23:06:11
5150;CAROLINA;Municipio;5;ANTIOQUIA;-752.831.920;67.259.950;24/09/2025 23:06:11;24/09/2025 23:06:11
5154;CAUCASIA;Municipio;5;ANTIOQUIA;-751.979.960;79.772.780;24/09/2025 23:06:11;24/09/2025 23:06:11
5172;CHIGORODÓ;Municipio;5;ANTIOQUIA;-766.815.310;76.661.470;24/09/2025 23:06:11;24/09/2025 23:06:11
5190;CISNEROS;Municipio;5;ANTIOQUIA;-750.870.470;65.378.290;24/09/2025 23:06:11;24/09/2025 23:06:11
5197;COCORNÁ;Municipio;5;ANTIOQUIA;-751.854.830;60.582.950;24/09/2025 23:06:11;24/09/2025 23:06:11
5206;CONCEPCIÓN;Municipio;5;ANTIOQUIA;-752.575.870;63.943.480;24/09/2025 23:06:11;24/09/2025 23:06:11
5209;CONCORDIA;Municipio;5;ANTIOQUIA;-759.084.480;60.457.380;24/09/2025 23:06:11;24/09/2025 23:06:11
5212;COPACABANA;Municipio;5;ANTIOQUIA;-755.093.840;63.485.570;24/09/2025 23:06:11;24/09/2025 23:06:11
5234;DABEIBA;Municipio;5;ANTIOQUIA;-762.616.140;69.981.120;24/09/2025 23:06:11;24/09/2025 23:06:11
5237;DONMATÍAS;Municipio;5;ANTIOQUIA;-753.926.300;64.856.030;24/09/2025 23:06:11;24/09/2025 23:06:11
5240;EBÉJICO;Municipio;5;ANTIOQUIA;-757.664.130;63.256.150;24/09/2025 23:06:11;24/09/2025 23:06:11
5250;EL BAGRE;Municipio;5;ANTIOQUIA;-747.990.970;75.975.000;24/09/2025 23:06:11;24/09/2025 23:06:11
5264;ENTRERRÍOS;Municipio;5;ANTIOQUIA;-755.176.850;65.662.730;24/09/2025 23:06:11;24/09/2025 23:06:11
