No Cotizacion;Cod;Producto;concepto;medida;cantidad;Iva;vr/unitario;vr total;;;
GC-02-2021-644;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;40;19%; $ 19.000 ; $ 760.000 ;;;
GC-02-2021-627;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;80;19%; $ 21.000 ; $ 1.680.000 ;;;
GC-01-2022-001;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;500;19%; $ 22.000 ; $ 11.000.000 ;;;
GC-01-2022-002;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;50;19%; $ 23.000 ; $ 1.150.000 ;;;
GC-01-2022-003;13;Diseño / Actualización del SG-SST;"
Visitas programadas para que nuestros profesionales realicen actividades de acompañamiento, aprobación de documentos e implemementación del SG-SST.

Incluye: Acompañamiento por (2) Dos horas mensuales de equipo profesional para revisión y aprobación de las actividades de SGSST.

Actualización de documentos, realización de capacitaciones, inspecciones, acompañamiento al vigia SST.  De acuerdo con DUR 1072/2015 y Resolución 0312/2019

Curso virtual de 50 horas sobre SG-SST ";Mensual;12;19%; $ 450.000 ; $ 5.400.000 ;;;
GC-01-2022-002 v1;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales.
Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidfad;70;19%; $ 23.000 ; $ 1.610.000 ;;;
GC-01-2022-004;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;60;19%; $ 22.000 ; $ 1.320.000 ;;;
GC-01-2022-005;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;65;19%; $ 23.000 ; $ 1.495.000 ;;;
GC-01-2022-006;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;25;19%; $ 30.000 ; $ 750.000 ;;;
GC-01-2022-007;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;75;19%; $ 22.000 ; $ 1.650.000 ;;;
GC-01-2022-008;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;40;19%; $ 25.000 ; $ 1.000.000 ;;;
GC-01-2022-009;10;Medición de ruido ambiental por sonometría:;"Es un estudio a nivel ocupacional de una fuente de ruido puntual que se realiza por intervalos cortos de tiempo, con el fin de conocer la exposición de ruido generado durante una actividad especifica.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;1;19%; $ 650.000 ; $ 650.000 ;;;
GC-01-2022-009;04;Profesiograma por cargos:;"Método de estudio para determinar las exigencias del trabajo y las aptitudes mínimas para su desempeño. Su objetivo es seleccionar al personal más adecuado, analizando tanto los requisitos del puesto de trabajo como la carcaterización psicofísica y biológica del aspirante o trabajador. 

Incluye: Asignación de profesional especialista SST.  Firma y aprobación de documentación relacionada. Entrega del profesiograma aprobado para presentar a las autoridades.";Global;1;19%; $ 600.000 ; $ 600.000 ;;;
GC-01-2022-010 ;10;Medición de ruido ambiental por sonometría:;"Es un estudio a nivel ocupacional de una fuente de ruido puntual que se realiza por intervalos cortos de tiempo, con el fin de conocer la exposición de ruido generado durante una actividad especifica.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;1;19%; $ 650.000 ; $ 650.000 ;;;
GC-01-2022-011;10;Medición de ruido ambiental por sonometría:;"Es un estudio a nivel ocupacional de una fuente de ruido puntual que se realiza por intervalos cortos de tiempo, con el fin de conocer la exposición de ruido generado durante una actividad especifica.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;1;19%; $ 650.000 ; $ 650.000 ;;;
GC-01-2022-011;10;Medición de iluminación por luxómetria:;"Es un estudio a nivel ocupacional de fuentes de iluminación puntuales que se realiza por intervalos cortos de tiempo, con el fin de conocer exposición a niveles de iluminación generados durante una actividad especifica.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;1;19%; $ 650.000 ; $ 650.000 ;;;
GC-01-2022-011;10;Medición de material particulado (gases y vapores):;"Evaluación de Riesgo Higiénico, que se basa en la comparación de las concentraciones ambientales resultanates de las mediciones en el puesto de trabajo, en relación con los valores de referencia prestablecidos.

Material particulado (Normas NIOSH 500 y 600) evaluación de ambientes de trabajo con material particulado, humo, gases y vapores.

Evaluación de la exposición a contaminantes: Estimacion inicial, estudio básico y detallado basado en la medición in situ de los agentes quimicos.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;1;19%; $ 1.157.000 ; $ 1.157.000 ;;;
GC-01-2022-013;10;Medición de temperatura y humedad:;"Estudio a nivel ocupacional para medir confort o disconfort térmico, se mide mediante magnitudes termométricas, es decir, diferentes unidades que representan la temperatura a distintas escalas. 

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;2;19%; $ 650.000 ; $ 1.300.000 ;;;
GC-01-2022-014;10;Medición de ruido ambiental por sonometría:;"Es un estudio a nivel ocupacional de una fuente de ruido puntual que se realiza por intervalos cortos de tiempo, con el fin de conocer la exposición de ruido generado durante una actividad especifica.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;1;19%; $ 650.000 ; $ 650.000 ;;;
GC-01-2022-014;10;Medición de iluminación por luxómetria:;"Evaluación de Riesgo Higiénico, que se basa en la comparación de las concentraciones ambientales resultanates de las mediciones en el puesto de trabajo, en relación con los valores de referencia prestablecidos.

Material particulado (Normas NIOSH 500 y 600) evaluación de ambientes de trabajo con material particulado, humo, gases y vapores.

Evaluación de la exposición a contaminantes: Estimacion inicial, estudio básico y detallado basado en la medición in situ de los agentes quimicos.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;1;19%; $ 1.157.000 ; $ 1.157.000 ;;;
GC-01-2022-015;10;Medición de material particulado (gases y vapores):;"Evaluación de Riesgo Higiénico, que se basa en la comparación de las concentraciones ambientales resultanates de las mediciones en el puesto de trabajo, en relación con los valores de referencia prestablecidos.

Material particulado (Normas NIOSH 500 y 600) evaluación de ambientes de trabajo con material particulado, humo, gases y vapores.

Evaluación de la exposición a contaminantes: Estimacion inicial, estudio básico y detallado basado en la medición in situ de los agentes quimicos.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;1;19%; $ 1.157.000 ; $ 1.157.000 ;;;
GC-01-2022-016;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;60;19%; $ 25.000 ; $ 1.500.000 ;;;
GC-01-2022-017;13;Diseño / Actualización del SG-SST;"Incluye: Visitas programadas para crear o actualizar la documentación y manual del SG-SST de la empresa. De acuerdo con DUR 1072/2015 y Resolución 0312/2019

Firma y aprobación de documentación relacionada. 

Entrega del manual del SG-SST aprobado para presentar a las autoridades.

Curso virtual de 50 horas sobre SG-SST ";Global;2;19%; $ 600.000 ; $ 1.200.000 ;;;
GC-01-2022-017;13;Diseño / Actualización del SG-SST;"Visitas programadas para que nuestros profesionales realicen actividades de acompañamiento e implemementación del SG-SST.

Incluye: Acompañamiento por (4) Cuatro horas mensuales de equipo profesional para diseño e implementación de actividades de SGSST (Psicólogo, Ingeniero SST, Fisioterapeuta).

Actualización de documentos, realización de capacitaciones, inspecciones, acompañamiento al vigia SST, plan de emergencias y contratistas.  De acuerdo con DUR 1072/2015 y Resolución 0312/2019

Certificación mensual.
Curso virtual de 50 horas sobre SG-SST ";Mensual;10;19%; $ 1.120.000 ; $ 11.200.000 ;;;
GC-01-2022-018;01;Aplicación encuesta / batería de riesgo Psicosocial:;"
Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final";Unidad;35;19%; $ 20.000 ; $ 700.000 ;;;
GC-01-2022-018;04;Profesiograma por cargos:;"Método de estudio para determinar las exigencias del trabajo y las aptitudes mínimas para su desempeño. Su objetivo es seleccionar al personal más adecuado, analizando tanto los requisitos del puesto de trabajo como la carcaterización psicofísica y biológica del aspirante o trabajador. 

Incluye: Asignación de profesional especialista SST.  Firma y aprobación de documentación relacionada. Entrega del profesiograma aprobado para presentar a las autoridades.";Global;1;19%; $ 600.000 ; $ 600.000 ;;;
GC-02-2021-709 V2;13;Diseño / Actualización del SG-SST;"Visitas programadas para que nuestros profesionales realicen actividades de acompañamiento, aprobación de documentos e implemementación del SG-SST.

Incluye: Acompañamiento por (2) Dos horas mensuales de equipo profesional para revisión y aprobación de las actividades de SGSST.

Actualización de documentos, realización de capacitaciones, inspecciones, acompañamiento al vigia SST.  De acuerdo con DUR 1072/2015 y Resolución 0312/2019

Curso virtual de 50 horas sobre SG-SST ";Mensual;12;19%; $ 200.000 ; $ 2.400.000 ;;;
GC-01-2022-019;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;71;19%; $ 22.000 ; $ 1.562.000 ;;;
GC-01-2022-020;04;Profesiograma por cargos:;"Método de estudio para determinar las exigencias del trabajo y las aptitudes mínimas para su desempeño. Su objetivo es seleccionar al personal más adecuado, analizando tanto los requisitos del puesto de trabajo como la carcaterización psicofísica y biológica del aspirante o trabajador. 

Incluye: Asignación de profesional especialista SST.  Firma y aprobación de documentación relacionada. Entrega del profesiograma aprobado para presentar a las autoridades.";Global;1;19%; $ 850.000 ; $ 850.000 ;;;
GC-01-2022-020;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;172;19%; $ 22.000 ; $ 3.784.000 ;;;
GC-01-2022-021;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;25;19%; $ 30.000 ; $ 750.000 ;;;
GC-01-2022-022;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;19;19%; $ 35.000 ; $ 665.000 ;;;
GC-01-2022-023;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;53;19%; $ 25.000 ; $ 1.325.000 ;;;
GC-01-2022-024;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;155;19%; $ 22.000 ; $ 3.410.000 ;;;
GC-01-2022-025;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;15;19%; $ 40.000 ; $ 600.000 ;;;
GC-01-2022-026;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;75;19%; $ 23.000 ; $ 1.725.000 ;;;
GC-01-2022-027;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;33;19%; $ 25.000 ; $ 825.000 ;;;
GC-01-2022-028;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;10;19%; $ 50.000 ; $ 500.000 ;;;
GC-01-2022-029;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;152;19%; $ 23.000 ; $ 3.496.000 ;;;
GC-01-2022-030;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;150;19%; $ 23.000 ; $ 3.450.000 ;;;
GC-01-2022-031;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;42;19%; $ 30.000 ; $ 1.260.000 ;;;
GC-01-2022-032;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;10;19%; $ 50.000 ; $ 500.000 ;;;
GC-01-2022-033;10;Medición de material particulado (gases y vapores):;"Evaluación de Riesgo Higiénico, que se basa en la comparación de las concentraciones ambientales resultanates de las mediciones en el puesto de trabajo, en relación con los valores de referencia prestablecidos.

Material particulado (Normas NIOSH 500 y 600) evaluación de ambientes de trabajo con material particulado, humo, gases y vapores.

Evaluación de la exposición a contaminantes: Estimacion inicial, estudio básico y detallado basado en la medición in situ de los agentes quimicos.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;2;19%; $ 1.157.000 ; $ 2.314.000 ;;;
GC-01-2022-034;10;Medición de iluminación por luxómetria:;"
Es un estudio a nivel ocupacional de fuentes de iluminación puntuales que se realiza por intervalos cortos de tiempo, con el fin de conocer exposición a niveles de iluminación generados durante una actividad especifica.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;1;19%; $ 600.000 ; $ 600.000 ;;;
GC-01-2022-035;10;Medición de ruido ambiental por sonometría:;"Es un estudio a nivel ocupacional de una fuente de ruido puntual que se realiza por intervalos cortos de tiempo, con el fin de conocer la exposición de ruido generado durante una actividad especifica.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;1;19%; $ 650.000 ; $ 650.000 ;;;
GC-01-2022-036;10;Medición de iluminación por luxómetria:;"
Es un estudio a nivel ocupacional de fuentes de iluminación puntuales que se realiza por intervalos cortos de tiempo, con el fin de conocer exposición a niveles de iluminación generados durante una actividad especifica.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;1;19%; $ 600.000 ; $ 600.000 ;;;
GC-01-2022-037;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;169;19%; $ 15.000 ; $ 2.535.000 ;;;
GC-01-2022-038;13;Diseño / Actualización del SG-SST;"Visitas programadas para que nuestros profesionales realicen actividades de acompañamiento, aprovbación de documentos e implemementación del SG-SST.

Incluye: Acompañamiento por (2) Dos horas mensuales de equipo profesional para diseño e implementación de actividades de SGSST (Psicólogo, Ingeniero SST, Fisioterapeuta).

Actualización de documentos, realización de capacitaciones, inspecciones, acompañamiento al vigia SST, plan de emergencias y contratistas.  De acuerdo con DUR 1072/2015 y Resolución 0312/2019

Certificación mensual.
Curso virtual de 50 horas sobre SG-SST ";Mensual;12;19%; $ 250.000 ; $ 3.000.000 ;;;
GC-01-2022-039;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;155;19%; $ 22.000 ; $ 3.410.000 ;;;
GC-01-2022-040;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;43;19%; $ 28.000 ; $ 1.204.000 ;;;
GC-01-2022-041;10;Medición de ruido ambiental por sonometría:;"Es un estudio a nivel ocupacional de una fuente de ruido puntual que se realiza por intervalos cortos de tiempo, con el fin de conocer la exposición de ruido generado durante una actividad especifica.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;1;19%; $ 600.000 ; $ 600.000 ;;;
GC-01-2022-041;10;Medición de iluminación por luxómetria:;"Es un estudio a nivel ocupacional de fuentes de iluminación puntuales que se realiza por intervalos cortos de tiempo, con el fin de conocer exposición a niveles de iluminación generados durante una actividad especifica.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;1;19%; $ 600.000 ; $ 600.000 ;;;
GC-01-2022-041;10;Medición de material particulado (gases y vapores):;"Evaluación de Riesgo Higiénico, que se basa en la comparación de las concentraciones ambientales resultanates de las mediciones en el puesto de trabajo, en relación con los valores de referencia prestablecidos.

Material particulado (Normas NIOSH 500 y 600) evaluación de ambientes de trabajo con material particulado, humo, gases y vapores.

Evaluación de la exposición a contaminantes: Estimacion inicial, estudio básico y detallado basado en la medición in situ de los agentes quimicos.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final.";Global;1;19%; $ 1.178.500 ; $ 1.178.500 ;;;
GC-01-2022-042;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;10;19%; $ 50.000 ; $ 500.000 ;;;
GC-01-2022-043;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;70;19%; $ 23.000 ; $ 1.610.000 ;;;
GC-01-2022-044;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;204;19%; $ 21.000 ; $ 4.284.000 ;;;
GC-01-2022-045;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;10;19%; $ 50.000 ; $ 500.000 ;;;
GC-01-2022-046;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;50;19%; $ 24.000 ; $ 1.200.000 ;;;
GC-01-2022-047;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;117;19%; $ 25.000 ; $ 2.925.000 ;;;
GC-01-2022-048;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;60;19%; $ 26.000 ; $ 1.560.000 ;;;
GC-01-2022-050;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;35;19%; $ 21.000 ; $ 735.000 ;;;
GC-01-2022-051;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;104;19%; $ 24.000 ; $ 2.496.000 ;;;
GC-01-2022-052;01;Aplicación encuesta / batería de riesgo Psicosocial:;"Aplicación de Encuesta / batería de riesgo Psicosocial:

Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 

Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. Entrega de informe final.";Unidad;1700;19%; $ 26.000 ; $ 44.200.000 ;;;
