ProductoID;Producto Detalle;IVA;Referencia;Linea Negocio;descripcion
1;Aplicación encuesta / batería de riesgo Psicosocial:;19%;brp;2;"Disponibilidad de profesional especialista para la aplicación, medición e interpretación de resultados de cuestionarios en ciudades principales. 
Incluye: Asignación de profesional, Papeleria y documentación necesaria. Formas A y B de acuerdo con la normatividad y perfil del colaborador. 
Entrega de informe final en socialización a directivos, coordinadores comites y demás grupos interesados.
Entrega de certificado de custodia y confidencialidad.
Acceso a plataforma web (DashBoard) con gráficas de resultados en tiempo real"
2;Plan de trabajo riesgo psicosocial;19%;plan-rp;2;"Identificación, Valoración y Diseño del Sistema de Vigilancia Epidemiológica de los Factores Psicosociales

Disponibilidad de profesional especialista para interpretación de resultados y elaboración del PVE Correspndiente.

Incluye: Asignación de profesional en ciudades principales, Papeleria y documentación necesaria. Elaboración de PVE.

Entrega propuesta de plan de intervención.

Entrega de informe final."
3;Informes batería de riesgo psicosocial:;19%;inf-brp;2;"Disponibilidad de profesional especialista para la medición e interpretación de resultados de cuestionarios. 

Incluye: Asignación de profesional y Entrega de informe final en socialización a directivos, coordinadores comites y demás grupos interesados."
4;Programa de gestion de riesgo psicosocial:;19%;prog-rp;2;"Disponibilidad de profesional especialista para medición e interpretación y generacion de programa de Gesión de acuerdo con los resultados de cuestionarios. 

Incluye: Asignación de profesional, Entrega de informe final en socialización a directivos, coordinadores comites y demás grupos interesados."
5;Profesiograma por cargos:;19%;profes;2;"Método de estudio para determinar las exigencias del trabajo y las aptitudes mínimas para su desempeño. Su objetivo es seleccionar al personal más adecuado, analizando tanto los requisitos del puesto de trabajo como la carcaterización psicofísica y biológica del aspirante o trabajador. 

Incluye: Asignación de profesional especialista SST.  Firma y aprobación de documentación relacionada. Entrega del profesiograma aprobado para presentar a las autoridades."
6;Medición de ruido ambiental por sonometría:;19%;Sonom;2;"Es un estudio a nivel ocupacional de una fuente de ruido puntual que se realiza por intervalos cortos de tiempo, con el fin de conocer la exposición de ruido generado durante una actividad especifica.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final."
7;Medición de iluminación por luxómetria:;19%;luxo;2;"Es un estudio a nivel ocupacional de fuentes de iluminación puntuales que se realiza por intervalos cortos de tiempo, con el fin de conocer exposición a niveles de iluminación generados durante una actividad especifica.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final."
8;Medición de material particulado (gases y vapores):;19%;mat-part;2;"Evaluación de Riesgo Higiénico, que se basa en la comparación de las concentraciones ambientales resultanates de las mediciones en el puesto de trabajo, en relación con los valores de referencia prestablecidos.

Material particulado (Normas NIOSH 500 y 600) evaluación de ambientes de trabajo con material particulado, humo, gases y vapores.

Evaluación de la exposición a contaminantes: Estimacion inicial, estudio básico y detallado basado en la medición in situ de los agentes quimicos.

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final."
9;Medición de confort Térmico:;19%;conf-term;2;"Estudio a nivel ocupacional para medir confort o disconfort térmico, se mide mediante magnitudes termométricas, es decir, diferentes unidades que representan la temperatura a distintas escalas. 

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final."
10;Medición de temperatura y humedad:;19%;temp-humed;2;"Estudio a nivel ocupacional para medir confort o disconfort térmico, se mide mediante magnitudes termométricas, es decir, diferentes unidades que representan la temperatura a distintas escalas. 

Incluye: Asignación de profesional, Papelería y documentación necesaria. equipos de medición, trabajo en campo, entrega de informe final."
